,YearRemodAdd,YearBuilt,TotRmsAbvGrd,FullBath,1stFlrSF,TotalBsmtSF,GarageArea,GarageCars,GrLivArea,OverallQual,SalePrice
477,2006,2006,9,2,2069,2153,694,3,2643,9,380000
478,2008,2007,7,2,1718,1705,826,3,1718,8,297000
479,2000,1937,7,1,1131,907,672,2,1131,4,89471
480,2005,2004,8,2,1850,1833,772,3,1850,9,326000
481,2004,2003,6,2,1792,1792,874,3,1792,9,374000
482,2005,1915,7,1,916,910,164,1,1826,7,155000
483,1998,1998,5,2,1216,1216,402,2,1216,6,164000
484,2001,1962,6,1,999,999,264,1,999,5,132500
485,2007,1950,5,1,1113,1113,264,1,1113,5,147000
486,1965,1965,6,1,1073,1073,515,2,1073,5,156000
487,1971,1971,7,2,1484,1484,487,2,1484,5,175000
488,1970,1900,10,2,1766,954,520,2,2414,5,160000
489,2002,1970,3,1,630,630,286,1,630,4,86000
490,1976,1976,4,1,616,264,336,1,1304,5,115000
491,1950,1941,5,1,958,806,240,1,1578,6,133000
492,2006,2006,8,2,728,728,429,2,1456,6,172785
493,1960,1960,6,1,1269,1269,308,1,1269,5,155000
494,1996,1938,4,1,886,190,273,1,886,5,91300
495,1950,1920,4,1,720,720,0,0,720,4,34900
496,1993,1992,10,3,3228,3200,546,2,3228,8,430000
497,1950,1925,8,2,1133,1026,240,1,1820,7,184000
498,2004,1967,5,1,899,864,288,1,899,5,130000
499,1985,1958,5,1,912,912,297,1,912,5,120000
500,1973,1973,7,1,672,672,264,1,1218,6,113000
501,2005,2005,7,2,866,866,603,2,1768,7,226700
502,1965,1965,6,1,1214,1214,461,2,1214,5,140000
503,1997,1959,6,2,1801,1501,484,2,1801,7,289000
504,1974,1974,6,2,855,855,440,2,1322,6,147000
505,1952,1952,10,2,960,960,400,2,1960,5,124500
506,1994,1993,8,2,1065,777,471,2,1911,8,215000
507,2009,2009,4,2,1218,1218,676,2,1218,6,208300
508,2005,1928,7,2,689,689,360,2,1378,7,161000
509,1959,1959,6,1,1041,1041,270,1,1041,5,124500
510,2000,1951,6,1,1363,1008,288,1,1363,5,164900
511,2006,2005,6,2,1368,1368,474,2,1368,7,202665
512,1958,1958,5,1,864,864,624,2,864,5,129900
513,1983,1983,5,1,1080,1084,484,2,1080,6,134000
514,1950,1926,5,1,789,768,200,1,789,5,96500
515,2009,2009,9,2,2020,2006,900,3,2020,10,402861
516,1972,1972,7,2,1378,689,583,2,2119,6,158000
517,1997,1996,7,2,1277,1264,889,3,2344,7,265000
518,1998,1998,7,2,882,794,546,2,1796,6,211000
519,2004,1926,9,1,1276,1276,282,1,2080,7,234000
520,2000,1900,7,2,694,0,0,0,1294,4,106250
521,1957,1957,6,1,1244,1244,336,1,1244,6,150000
522,1950,1947,7,2,1004,1004,420,2,1664,6,159000
523,2008,2007,11,3,3138,3138,884,3,4676,10,184750
524,1997,1996,8,2,1383,1379,834,3,2398,7,315750
525,2005,2005,6,2,1266,1257,453,2,1266,7,176000
526,2000,1956,4,1,928,928,252,1,928,5,132000
527,2008,2008,11,2,1476,1452,858,3,2713,9,446261
528,2002,1920,5,1,605,528,0,0,605,4,86000
529,1975,1957,9,3,2515,2035,484,2,2515,6,200624
530,1989,1988,5,2,1509,1461,600,2,1509,6,175000
531,1999,1920,6,2,751,611,502,2,1362,6,128000
532,2007,1955,5,1,827,0,392,1,827,5,107500
533,1950,1946,2,1,334,0,0,0,334,1,39300
534,2004,2004,6,2,707,707,403,2,1414,8,178000
535,1991,1910,5,1,820,1117,0,0,1347,5,107500
536,1999,1998,8,2,880,880,527,2,1724,7,188000
537,1972,1972,5,1,864,864,576,2,864,4,111250
538,1968,1968,7,1,1159,1051,336,1,1159,5,158000
539,2002,2001,6,2,1601,1581,670,2,1601,8,272000
540,2006,2006,8,2,1838,1838,765,3,1838,9,315000
541,2000,2000,8,2,997,969,648,3,2285,8,248000
542,1999,1998,7,2,1680,1650,583,2,1680,7,213250
543,1998,1998,4,1,767,723,367,1,767,7,133000
544,2006,2006,7,2,664,654,426,2,1496,7,179665
545,1988,1988,9,2,1377,1204,786,3,2183,7,229000
546,1950,1923,6,1,915,1065,440,2,1635,6,210000
547,1970,1970,5,1,768,768,624,2,768,5,129500
548,1995,1955,4,1,825,825,720,2,825,5,125000
549,2004,2003,8,2,912,912,615,2,2094,7,263000
550,1977,1977,4,2,1069,1069,440,2,1069,6,140000
551,1957,1957,5,1,928,928,288,1,928,5,112500
552,2006,2006,7,2,1717,1709,908,3,1717,8,255500
553,2003,1949,5,2,1126,0,520,2,1126,4,108000
554,2004,2003,8,2,1006,998,871,3,2046,7,284000
555,1950,1922,5,1,1048,993,280,1,1048,5,113000
556,1957,1957,6,1,1092,1092,299,1,1092,5,141000
557,1950,1920,7,1,897,637,570,1,1336,4,108000
558,1997,1996,6,2,729,729,406,2,1446,7,175000
559,2004,2003,7,2,1557,1374,420,2,1557,7,234000
560,1996,1957,5,1,1392,1392,528,2,1392,5,121500
561,1975,1974,6,1,1389,1389,418,2,1389,5,170000
562,1969,1940,6,1,996,996,0,0,996,5,108000
563,1950,1918,8,2,1163,1163,396,2,1674,6,185000
564,2000,1992,9,2,1166,1095,590,2,2295,7,268000
565,1950,1915,6,1,841,806,216,1,1647,6,128000
566,2007,2005,11,2,1134,1122,656,3,2504,9,325000
567,2004,2004,7,2,1535,1517,532,2,1535,7,214000
568,2009,1983,5,1,1496,1496,612,2,2132,8,316600
569,1979,1979,4,1,943,943,600,2,943,5,135960
570,1965,1965,10,2,1728,1728,576,2,1728,5,142600
571,1959,1959,4,1,864,864,288,1,864,6,120000
572,2009,2009,6,2,846,846,650,2,1692,7,224500
573,2000,2000,8,2,774,384,400,2,1430,7,170000
574,2005,1971,5,1,576,372,288,1,1109,5,139000
575,1950,1947,6,1,832,832,336,1,1216,5,118500
576,1950,1928,6,2,877,861,216,1,1477,7,145000
577,1966,1966,6,1,1320,1164,564,2,1320,5,164500
578,2007,2007,5,2,703,689,540,2,1392,7,146000
579,1954,1954,7,2,1050,1050,352,1,1795,5,131500
580,1987,1960,7,1,1429,1144,572,2,1429,6,181900
581,2009,2008,8,2,2042,2042,1390,3,2042,8,253293
582,1990,1990,5,1,816,816,0,0,816,6,118500
583,2000,1893,9,3,1521,1237,880,2,2775,10,325000
584,1995,1935,6,1,989,884,240,1,1573,4,133000
585,2006,2005,7,2,2028,1868,880,3,2028,8,369900
586,2000,1918,5,1,838,816,275,1,838,6,130000
587,1982,1982,4,1,860,840,528,2,860,5,137000
588,2003,1968,5,1,1473,1437,452,1,1473,5,143000
589,1960,1930,4,1,779,742,308,1,935,5,79500
590,2004,2004,6,2,770,770,520,2,1582,7,185900
591,2008,2008,10,2,1728,1722,842,3,2296,10,451950
592,2003,1982,4,1,816,816,816,2,816,5,138000
593,2003,2003,4,1,848,848,420,2,848,6,140000
594,1975,1975,5,1,924,924,280,1,924,5,110000
595,2006,2005,7,2,1826,1814,758,3,1826,8,319000
596,1993,1910,7,1,684,684,216,1,1368,6,114504
597,2007,2006,7,0,1402,1258,648,3,1402,7,194201
598,1977,1977,7,2,1647,1430,621,2,1647,5,217500
599,1980,1980,6,2,716,716,452,2,1556,6,151000
600,2005,2005,8,2,1058,1058,736,2,1904,8,275000
601,1950,1937,6,1,780,780,544,1,1375,6,141000
602,1992,1992,8,2,927,908,506,2,1915,8,220000
603,2005,2004,4,2,600,600,480,2,1200,7,151000
604,2002,2002,6,2,1494,1494,530,2,1494,7,221000
605,1990,1965,7,2,1186,768,486,2,1986,7,205000
606,1996,1996,6,1,1040,1040,576,2,1040,5,152000
607,2002,1948,8,3,1112,896,230,1,2008,5,225000
608,1998,1934,10,2,1940,965,380,2,3194,8,359100
609,1961,1961,5,1,1029,1029,261,1,1029,4,118500
610,2000,2000,8,2,1476,1440,736,3,2153,9,313000
611,1978,1978,6,2,1032,1032,564,2,1032,6,148000
612,2001,2001,7,2,1299,1299,531,2,1872,8,261500
613,2007,2007,6,1,1120,1120,0,0,1120,5,147000
614,1972,1972,3,1,630,630,0,0,630,4,75500
615,1963,1963,6,1,1054,936,480,2,1054,6,137500
616,2003,2002,7,2,807,783,393,2,1509,6,183200
617,1954,1954,4,1,832,832,528,2,832,6,105500
618,2007,2007,9,2,1828,1822,774,3,1828,9,314813
619,2003,2003,10,2,1482,1482,749,3,2262,8,305000
620,1950,1914,5,1,864,864,0,0,864,3,67000
621,1997,1974,9,2,1548,1522,624,2,2614,6,240000
622,1977,1977,6,1,980,980,484,2,980,5,135000
623,2000,2000,4,2,756,756,440,2,1512,6,168500
624,1972,1972,8,1,1012,732,484,2,1790,6,165150
625,1962,1962,5,1,1116,1116,440,2,1116,6,160000
626,1978,1960,6,1,1422,978,286,1,1422,5,139900
627,1972,1955,7,1,1520,1156,364,1,1520,6,153000
628,1969,1969,9,1,1040,1040,504,2,2080,5,135000
629,1964,1964,6,1,1350,1248,520,2,1350,6,168500
630,1991,1880,8,1,1089,636,240,1,1750,5,124000
631,2006,2006,6,2,1554,1554,627,2,1554,8,209500
632,1977,1977,6,2,1411,1386,544,2,1411,7,82500
633,2005,1954,6,1,1056,1056,260,1,1056,5,139400
634,1980,1980,4,0,1056,1056,576,2,1056,6,144000
635,1995,1914,14,2,1440,1440,0,0,3395,6,200000
636,1950,1936,4,1,800,264,0,0,800,2,60000
637,1954,1954,7,2,811,811,256,1,1387,5,93000
638,1950,1910,4,1,796,796,0,0,796,5,85000
639,2006,2006,7,2,1567,1520,648,3,1567,8,264561
640,2004,2003,6,1,1518,1518,588,2,1518,8,274000
641,2001,2001,7,2,1057,1057,650,2,1929,7,226000
642,1995,1972,9,2,2000,1952,538,2,2704,8,345000
643,1969,1969,7,2,780,780,462,2,1620,5,152000
644,2009,2009,7,2,1766,1766,478,3,1766,9,370878
645,1971,1971,5,1,981,981,576,2,981,6,143250
646,1950,1950,7,1,1048,0,420,2,1048,5,98300
647,1953,1953,5,1,1094,1094,495,2,1094,6,155000
648,1966,1966,7,1,1051,756,442,2,1839,6,155000
649,1970,1970,3,1,630,630,0,0,630,4,84500
650,2007,2007,7,2,822,813,562,2,1665,7,205950
651,1950,1940,7,1,755,755,296,1,1510,4,108000
652,1996,1996,7,2,909,880,512,2,1716,7,191000
653,1995,1906,7,1,756,756,216,1,1469,6,135000
654,1995,1995,7,2,2113,2109,839,3,2113,8,350000
655,1971,1971,6,1,525,525,264,1,1092,6,88000
656,2006,1959,5,1,1053,1053,312,1,1053,5,145500
657,2000,1931,6,1,851,776,270,1,1502,7,149000
658,1950,1948,6,1,912,912,330,1,1458,6,97500
659,1999,1964,7,1,1486,1486,480,2,1486,5,167000
660,1976,1976,7,2,1142,793,550,2,1935,7,197900
661,2005,1994,8,2,1686,1629,711,3,2448,8,402000
662,1968,1968,5,1,1392,1392,576,2,1392,6,110000
663,1972,1972,6,2,1181,1138,588,2,1181,4,137500
664,2006,2005,8,1,2097,2077,1134,3,2097,8,423000
665,2000,2000,7,2,1454,1406,504,2,1936,8,230500
666,1979,1965,7,2,1465,1021,596,2,2380,6,129000
667,1998,1994,7,2,1679,1408,575,2,1679,6,193500
668,1987,1956,6,1,1437,1188,576,2,1437,5,168000
669,1950,1922,5,1,1180,700,252,1,1180,4,137500
670,2005,2005,7,2,738,738,540,2,1476,6,173500
671,1950,1925,6,2,697,672,300,1,1369,6,103600
672,1977,1977,6,1,1208,1208,546,2,1208,6,165000
673,2004,1957,7,2,1839,1477,416,2,1839,6,257500
674,1965,1965,5,1,1136,1136,384,1,1136,6,140000
675,1978,1978,7,2,855,855,440,2,1441,6,148500
676,1950,1900,8,2,1095,1095,779,3,1774,4,87000
677,2006,1924,5,1,792,768,240,1,792,5,109500
678,2008,2008,7,2,2046,2046,834,3,2046,8,372500
679,1961,1961,5,1,988,988,572,2,988,5,128500
680,1980,1980,5,2,923,923,264,1,923,6,143000
681,2000,1932,6,1,848,793,281,1,1520,5,159434
682,1997,1996,6,1,1291,1291,431,2,1291,6,173000
683,2002,2002,7,2,1668,1626,702,3,1668,9,285000
684,1998,1998,7,2,1195,1195,486,2,1839,7,221000
685,1984,1984,6,2,1190,1190,577,2,2090,7,207500
686,2007,2007,7,3,874,874,578,2,1761,7,227875
687,2004,2004,4,2,551,551,480,2,1102,7,148800
688,2007,2007,7,2,1419,1419,567,2,1419,8,392000
689,2006,2005,6,2,1362,1362,460,2,1362,6,194700
690,2004,2004,3,1,848,848,420,2,848,6,141000
691,1995,1994,10,3,2444,2444,832,3,4316,10,755000
692,1990,1989,9,2,1238,1210,628,2,2519,7,335000
693,1968,1921,4,1,1073,1073,326,1,1073,5,108480
694,1950,1936,5,1,1067,927,576,2,1539,5,141500
695,1987,1987,5,2,1137,1112,551,2,1137,6,176000
696,1950,1921,4,1,616,616,205,1,616,5,89000
697,1952,1952,6,1,1148,980,308,1,1148,5,123500
698,2009,1965,5,1,894,894,336,1,894,5,138500
699,2004,2004,5,2,1391,1391,530,2,1391,7,196000
700,2002,2002,7,2,1800,1800,765,3,1800,8,312500
701,1969,1969,6,1,1164,1164,528,2,1164,7,140000
702,2006,2006,10,2,1264,1234,666,3,2576,8,361919
703,1996,1900,8,2,1032,360,672,2,1812,5,140000
704,2005,2004,7,2,1484,1473,606,2,1484,7,213000
705,1950,1930,7,2,372,0,0,0,1092,4,55000
706,2002,1971,5,2,1824,1643,739,2,1824,7,302000
707,2006,2006,6,2,1324,1324,550,2,1324,8,254000
708,2007,2007,8,2,728,728,400,2,1456,7,179540
709,1966,1966,6,1,904,876,408,1,904,5,109900
710,2003,1935,5,1,729,270,0,0,729,3,52000
711,1950,1900,7,1,859,859,384,1,1178,4,102776
712,1989,1988,5,2,1228,1228,472,2,1228,8,189000
713,1970,1970,6,1,960,960,576,2,960,4,129000
714,2005,1976,6,2,725,725,475,2,1479,6,130500
715,1974,1974,7,2,1350,1064,478,2,1350,6,165000
716,1998,1890,8,1,1576,718,704,2,2554,7,159500
717,2000,1973,5,1,1178,1176,439,2,1178,5,157000
718,1994,1993,9,2,1325,1311,983,3,2418,7,341000
719,1969,1969,5,1,971,971,300,1,971,5,128500
720,1985,1985,5,2,1742,1742,564,2,1742,8,275000
721,2004,2004,3,1,848,848,420,2,848,6,143000
722,1970,1970,5,1,864,864,463,2,864,4,124500
723,1972,1954,7,2,997,941,548,1,1470,4,135000
724,2008,2007,8,2,1698,1698,768,3,1698,9,320000
725,1970,1970,5,1,864,864,660,2,864,4,120500
726,2007,1988,5,2,1680,880,540,2,1680,6,222000
727,2007,2007,6,2,1232,1232,632,2,1232,7,194500
728,1958,1958,9,2,1776,1584,888,3,1776,5,110000
729,1950,1925,5,1,848,780,539,2,1208,4,103000
730,1996,1995,5,2,1616,1595,608,2,1616,8,236500
731,2003,2003,6,2,1146,868,438,2,1146,7,187500
732,1999,1998,8,2,1153,1153,541,2,2031,7,222500
733,1983,1961,6,1,1144,864,264,1,1144,5,131400
734,1968,1968,6,1,948,948,300,1,948,5,108000
735,1970,1914,6,1,880,880,320,2,1768,7,163000
736,1950,1950,6,2,1040,0,400,2,1040,3,93500
737,2005,2005,8,2,901,893,800,3,1801,8,239900
738,1988,1987,5,3,1200,1200,0,0,1200,5,179000
739,2004,2004,7,2,864,864,572,2,1728,7,190000
740,2002,1910,7,2,768,264,360,2,1432,5,132000
741,1996,1961,5,1,912,912,288,1,912,6,142000
742,2001,2000,6,2,1349,1349,539,2,1349,7,179000
743,1999,1963,6,2,1464,520,480,2,1464,5,175000
744,1993,1993,5,2,1337,1337,462,2,1337,8,180000
745,1996,1976,11,3,1175,1142,831,2,2715,8,299800
746,2000,2000,8,2,980,952,554,2,2256,7,236000
747,2003,1880,8,1,1320,1240,864,4,2640,7,265979
748,1996,1996,7,2,1720,1720,527,2,1720,7,260400
749,1950,1945,9,2,1088,0,240,1,1529,4,98000
750,2004,1910,7,1,792,576,0,0,1140,4,96500
751,2003,2003,6,2,660,660,400,2,1320,7,162000
752,1997,1997,6,2,1494,1479,576,2,1494,6,217000
753,2005,2005,8,2,1038,1030,878,3,2098,8,275500
754,2005,1969,5,1,1026,1026,440,2,1026,6,156000
755,1999,1999,6,2,742,729,440,2,1471,6,172500
756,2007,2007,7,2,866,866,578,2,1768,8,212000
757,1978,1978,6,2,672,672,440,2,1386,6,158900
758,1999,1999,6,2,757,744,440,2,1501,7,179400
759,1995,1995,9,2,1328,1318,752,3,2531,8,290000
760,1959,1959,5,1,864,864,300,1,864,6,127500
761,1950,1924,5,1,1301,1145,440,2,1301,5,100000
762,2009,2009,7,2,764,756,614,2,1547,7,215200
763,1999,1999,8,2,1268,1252,856,3,2365,8,337000
764,1996,1995,6,1,1494,1494,481,2,1494,8,270000
765,2008,2008,6,2,1506,1498,592,2,1506,9,264132
766,1988,1988,7,2,980,980,496,2,1714,7,196500
767,1985,1940,7,2,983,983,423,1,1750,6,160000
768,2005,2004,8,2,1836,1860,484,2,1836,7,216837
769,2003,2003,12,3,1690,1650,841,3,3279,8,538000
770,1982,1982,5,1,858,858,576,2,858,5,134900
771,1951,1951,6,1,1220,836,396,2,1220,4,102000
772,1976,1976,6,1,1117,1029,672,2,1117,6,107000
773,1958,1958,5,1,912,912,275,1,912,5,114500
774,2006,2006,9,2,1973,1935,895,3,1973,8,395000
775,1998,1998,5,2,1204,1204,412,2,1204,6,162000
776,2006,2005,7,2,1614,1614,865,3,1614,7,221500
777,1974,1974,5,1,894,864,440,2,894,5,142500
778,1977,1977,10,2,2020,0,630,2,2020,5,144000
779,1977,1977,4,1,1004,975,504,2,1004,6,135000
780,1996,1995,6,2,1253,1237,402,2,1253,7,176000
781,1992,1992,7,2,810,761,484,2,1603,6,175900
782,2002,2001,6,2,1430,1413,605,2,1430,7,187100
783,1978,1978,4,1,1110,1097,602,2,1110,5,165500
784,2001,1914,9,2,742,742,0,0,1484,6,128000
785,1967,1967,7,2,1342,1372,457,2,1342,6,161500
786,1950,1915,7,2,966,686,416,1,1652,5,139000
787,2004,2004,8,2,956,956,618,2,2084,7,233000
788,2000,1954,4,1,901,901,281,1,901,4,107900
789,2007,1966,9,2,976,832,444,2,2087,6,187500
790,2006,2005,5,2,1145,1145,397,2,1145,7,160200
791,1976,1976,5,1,1062,1029,539,2,1062,6,146800
792,1997,1996,8,2,1127,1117,455,2,2013,7,269790
793,2007,2007,7,2,1496,1496,474,2,1496,8,225000
794,1996,1994,7,2,1086,712,409,2,1895,7,194500
795,1981,1980,7,2,888,650,476,2,1564,6,171000
796,1977,1977,7,1,1285,660,528,2,1285,6,143500
797,1953,1953,4,1,773,773,240,1,773,5,110000
798,2009,2008,11,3,1966,1926,820,3,3140,9,485000
799,1950,1937,7,1,981,731,240,1,1768,5,175000
800,1997,1997,8,2,616,616,603,2,1688,6,200000
801,1990,1916,5,1,1196,1196,440,2,1196,4,109900
802,2005,2005,7,2,728,728,410,2,1456,7,189000
803,2009,2008,12,3,1734,1734,1020,3,2822,9,582933
804,1954,1954,5,1,1128,936,286,1,1128,5,118000
805,2008,2008,6,2,1428,1417,554,2,1428,7,227680
806,1967,1967,6,2,980,980,384,1,980,5,135500
807,2004,1923,6,1,1072,1324,528,2,1576,5,223500
808,1966,1966,6,1,1086,1024,484,2,1086,5,159950
809,1965,1898,11,2,1075,849,360,2,2138,5,106000
810,1999,1974,5,1,1309,1040,484,2,1309,6,181000
811,2004,2004,4,1,848,848,420,2,848,6,144500
812,1952,1952,4,1,1044,540,504,2,1044,5,55993
813,1958,1958,7,1,1442,1442,301,1,1442,6,157900
814,1950,1918,7,1,686,686,280,1,1250,5,116000
815,1998,1998,6,2,1661,1649,598,2,1661,7,224900
816,1954,1954,4,1,1008,1008,275,1,1008,5,137000
817,2002,2002,7,2,1689,1568,857,3,1689,8,271000
818,1971,1971,6,1,1052,1010,440,2,1052,6,155000
819,2010,2009,6,2,1358,1358,484,2,1358,7,224000
820,2003,2003,6,2,798,798,595,2,1640,7,183000
821,1953,1953,4,1,936,936,576,2,936,4,93000
822,2003,2003,7,2,847,847,433,2,1733,7,225000
823,1950,1940,7,2,944,778,240,1,1489,6,139500
824,2006,2006,7,2,1489,1489,776,2,1489,8,232600
825,2008,2007,7,2,2084,2078,1220,3,2084,10,385000
826,1950,1924,5,1,784,784,0,0,784,5,109500
827,2001,2001,6,2,1434,1454,527,2,1434,7,189000
828,1967,1967,7,2,1160,1013,538,2,2126,5,185000
829,2005,2005,4,2,520,600,480,2,1223,7,147400
830,1957,1957,6,1,1392,1392,458,2,1392,6,166000
831,2005,2005,4,2,520,600,480,2,1200,7,151000
832,2003,2003,7,2,941,941,613,2,1829,7,237000
833,1964,1964,6,1,1516,1516,472,2,1516,6,167000
834,1961,1961,6,1,1144,1144,456,2,1144,5,139950
835,1995,1950,4,2,1067,1067,436,2,1067,4,128000
836,1973,1948,5,1,1559,1559,812,2,1559,5,153500
837,1973,1973,5,1,483,483,264,1,987,6,100000
838,2006,1995,6,1,1099,1099,352,1,1099,5,144000
839,1995,1946,6,1,768,768,240,1,1200,5,130500
840,1950,1925,7,2,810,672,400,1,1482,6,140000
841,2002,1904,8,2,958,650,686,2,1539,5,157500
842,1966,1966,6,1,1165,1127,490,2,1165,6,174900
843,1961,1961,10,2,1800,1800,0,0,1800,5,141000
844,1950,1915,7,1,876,876,720,3,1416,5,153900
845,1981,1975,6,2,1701,1390,611,2,1701,5,171000
846,1993,1993,7,2,1006,740,425,2,1775,7,213000
847,1972,1972,5,1,864,864,338,1,864,5,133500
848,1997,1908,10,3,1307,907,360,2,2358,6,240000
849,1994,1976,7,2,1094,528,512,2,1855,6,187000
850,2003,2003,3,1,848,848,420,2,848,6,131500
851,2003,2003,7,2,1456,1273,400,2,1456,8,215000
852,1950,1941,7,2,918,918,240,1,1646,7,164000
853,1964,1964,7,1,1445,1127,645,2,1445,6,158000
854,1974,1955,6,1,1779,1763,454,2,1779,5,170000
855,2010,1962,6,1,1040,1040,260,1,1040,5,127000
856,1978,1978,5,1,1026,940,576,2,1026,6,147000
857,1995,1994,6,2,702,702,343,2,1481,6,174000
858,1976,1976,6,2,1370,1090,479,2,1370,7,152000
859,1984,1968,9,2,1512,1054,619,2,2654,6,250000
860,1998,1918,7,1,912,912,216,1,1426,7,189950
861,1965,1965,6,1,1039,1039,504,2,1039,5,131500
862,1985,1984,6,2,1097,1040,480,2,1097,6,152000
863,1959,1959,6,1,1148,1148,672,1,1148,5,132500
864,2008,2007,6,2,1372,1372,529,2,1372,7,250580
865,1970,1970,5,1,1002,1002,902,2,1002,5,148500
866,2007,2006,6,2,1646,1638,870,3,1646,8,248900
867,1961,1961,5,1,1120,1040,544,2,1120,4,129000
868,1950,1948,7,2,1547,0,672,2,2320,5,169000
869,1994,1993,8,2,1062,1050,574,2,1949,7,236000
870,1962,1962,5,1,894,894,308,1,894,5,109500
871,1998,1998,7,2,804,804,523,2,1682,6,200500
872,1996,1953,5,1,910,105,414,2,910,5,116000
873,1950,1949,6,1,1036,832,288,1,1268,5,133000
874,1950,1941,5,1,676,676,200,1,1131,5,66500
875,2007,2007,11,2,1184,1184,550,2,2610,8,303477
876,1963,1963,5,1,1040,1064,648,2,1040,4,132250
877,2005,2004,10,2,1462,1462,738,3,2224,9,350000
878,1995,1961,6,1,1155,1109,576,2,1155,5,148000
879,2005,1978,6,1,864,864,336,1,864,5,136500
880,2006,2005,5,1,1090,1090,450,2,1090,5,157000
881,1991,1990,7,2,1187,1156,400,2,1717,7,187500
882,1993,1992,7,2,808,808,389,2,1593,6,178000
883,1950,1912,10,1,954,795,440,1,2230,4,118500
884,1967,1967,5,1,892,892,288,1,892,5,100000
885,2000,1999,5,2,1709,1698,506,2,1709,9,328900
886,2005,1959,8,2,1712,1626,588,2,1712,5,145000
887,1955,1955,8,1,872,816,300,1,1393,5,135500
888,1970,1970,8,2,2217,2217,621,2,2217,8,268000
889,1953,1953,6,1,1505,1505,505,2,1505,6,149500
890,2006,1949,6,1,672,672,576,2,924,5,122900
891,1978,1978,7,2,918,918,440,2,1683,6,172500
892,2003,1963,6,1,1068,1059,264,1,1068,6,154500
893,1954,1954,6,1,1383,1383,354,1,1383,5,165000
894,1979,1979,8,2,1535,0,400,2,1535,5,118858
895,1963,1963,8,1,983,780,483,2,1796,6,140000
896,1950,1936,6,1,951,951,327,1,951,4,106500
897,1979,1979,12,2,1120,0,528,2,2240,5,142953
898,2010,2009,11,2,2364,2330,820,3,2364,9,611657
899,1994,1961,6,1,1236,912,288,1,1236,5,135000
900,1971,1971,4,1,858,858,684,1,858,4,110000
901,2000,1957,5,1,1306,992,756,1,1306,5,153000
902,2003,2003,8,2,807,783,393,2,1509,7,180000
903,2006,2006,7,2,1670,1670,690,3,1670,7,240000
904,1967,1967,6,1,902,876,288,1,902,5,125500
905,1954,1954,6,1,1063,1056,280,1,1063,5,128000
906,2006,2006,8,2,1636,1623,865,3,1636,8,255000
907,1987,1936,6,1,1020,1017,180,1,2057,7,250000
908,1983,1983,5,1,902,864,484,2,902,5,131000
909,2005,2005,8,2,742,742,390,2,1484,6,174000
910,1960,1960,12,2,1105,1105,480,2,2274,5,154300
911,1989,1977,5,1,1268,1268,252,1,1268,5,143500
912,1950,1925,6,1,1015,768,450,1,1015,5,88000
913,1950,1949,8,2,1001,1001,871,3,2002,5,145000
914,2009,2009,4,2,612,612,528,2,1224,6,173733
915,1970,1970,6,1,546,546,286,1,1092,4,75000
916,1950,1949,4,0,480,480,308,1,480,2,35311
917,1956,1956,6,1,1229,1134,284,1,1229,4,135000
918,1991,1991,8,2,912,1104,833,3,2127,7,238000
919,2002,1958,6,1,1414,1184,601,2,1414,6,176500
920,1994,1994,7,2,936,928,471,2,1721,6,201000
921,2003,1900,9,2,1272,1272,0,0,2200,5,145900
922,2006,2005,6,2,1316,1316,397,2,1316,6,169990
923,1994,1993,5,2,1617,1604,533,2,1617,6,193000
924,1980,1980,7,2,1686,1686,612,2,1686,6,207500
925,1977,1977,6,2,1126,1126,540,2,1126,5,175000
926,2004,2003,10,2,1234,1181,656,3,2374,8,285000
927,1968,1968,9,2,1098,832,486,2,1978,7,176000
928,2001,2001,7,2,1788,1753,522,2,1788,8,236500
929,1997,1997,8,2,993,964,642,2,2236,7,222000
930,2007,2007,7,2,1466,1466,610,3,1466,8,201000
931,1965,1965,5,1,925,925,429,1,925,5,117500
932,2006,2006,8,2,1905,1905,788,3,1905,9,320000
933,2004,2004,6,2,1500,1500,570,2,1500,7,190000
934,2007,1960,9,2,2069,585,505,2,2069,7,242000
935,1953,1926,5,1,747,600,528,2,747,4,79900
936,2003,2003,5,2,1200,1176,555,2,1200,7,184900
937,2005,2005,8,2,1113,1113,689,2,1971,7,253000
938,2006,2006,7,2,1391,1391,868,3,1962,7,239799
939,1950,1940,10,2,1207,1032,349,1,2403,7,244400
940,1976,1976,8,2,1728,1728,574,2,1728,6,150900
941,1999,1999,8,2,1022,992,390,2,2060,7,214000
942,1977,1977,8,2,1440,1440,0,0,1440,4,150000
943,1967,1967,8,2,1632,1632,576,2,1632,5,143000
944,1958,1958,7,1,1344,819,525,2,1344,6,137500
945,1996,1890,7,1,1188,1088,456,2,1869,5,124900
946,1959,1959,6,1,1144,1144,796,1,1144,5,143000
947,2003,2002,9,2,1629,1616,808,3,1629,8,270000
948,2002,2002,7,2,936,936,474,2,1776,7,192500
949,2006,1972,5,1,1381,1161,676,2,1381,6,197500
950,2002,1950,5,1,864,864,720,2,864,5,129000
951,1965,1965,6,1,965,828,300,1,965,5,119900
952,2003,1972,5,1,768,768,396,1,768,5,133900
953,1969,1969,7,2,1168,784,530,2,1968,5,172000
954,1975,1975,4,2,980,945,0,0,980,6,127500
955,1950,1946,8,2,979,979,492,2,1958,6,145000
956,1980,1980,5,1,561,561,462,2,1229,6,124000
